HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PS1K,PS4K,PS8K,PS16K,PS32K,CS32MB,CS16MB,CS64MB,CS512MB,PERF
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,4.304115026007787
0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,1.0,-0.1653207921297017
0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2.6619893254918714
-0.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.10926492152566816
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.6770662162070813
0.0,1.0,1.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,2.389694818823913
0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,7.001545176770239
1.0,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4007709356258875
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,7.118021319145122
-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,0.0,2.6583321206418864
0.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,6.42411636622137
0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,1.1880943936005155
0.0,0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,1.3364278211640095
-0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,2.2947622396407317
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,8.000067107652232
0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,3.5690185964268184
0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.26114742016813103
0.0,-0.0,-0.0,1.0,1.0,0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,2.52822632363758
-0.0,0.0,-0.0,0.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,0.0,0.0,3.5746814027593965
0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,1.0,2.8411443683268223
-0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.9747578590626143
0.0,1.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,2.8750752476516235
0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.6841869013838593
0.0,-0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.6141034661441451
0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,-0.0,0.0,0.0,5.677545103734408
0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,-0.6906402147598274
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,8.709621860571122
-0.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,2.885402859056913
0.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,2.1428969027803535
0.0,1.0,0.0,1.0,1.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,1.3557066108758755
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.05876170551941364
0.0,0.0,1.0,1.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,3.9362062683546957
1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.648161739490675
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,5.073622573934263
1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,7.710804979739405
0.0,0.0,0.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.8191486615325747
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,5.401372470631834
0.0,0.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,4.927286094242904
0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.765751371951842
0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,10.477490193154594
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,-2.8857783821191365
0.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0969927973986846
1.0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,13.77409749553198
0.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,3.114768040473346
1.0,-0.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.30985106697607645
-0.0,0.0,1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,0.6158778198850906
0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,5.861376295870906
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,20.213584419192536
