HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PS1K,PS4K,PS8K,PS16K,PS32K,CS32MB,CS16MB,CS64MB,CS512MB,PERF
0.0,-0.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,23.488111646783086
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.040235647871650196
1.0,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,13.677980185625117
1.0,-0.0,1.0,1.0,0.0,2.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,14.555076650010133
0.0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.8212770120510235
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,2.498133972900986
0.0,0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.904074157314874
0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,0.4302616799443849
-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-2.9428324816432263
-0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,0.0,0.0,-1.3987379586341933
-0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.527426835206103
1.0,0.0,-0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,10.169925691347338
1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,21.897626121719348
0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,18.25211168214261
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,2.991231283464805
0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0186448946019477
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-1.8715981299625224
1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,13.979691667987385
1.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,0.0,29.915047453570487
1.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.495493003237922
0.0,1.0,1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,-1.2456767624069278
0.0,1.0,1.0,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,1.7595390680696654
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,5.210078056104859
-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.2289155947258583
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1.0,-0.0,6.378031239986545
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,10.335927058971137
0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,11.167275627632856
1.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,25.615161494345205
0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,4.268459060492802
1.0,1.0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,3.3380526419357057
1.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,0.0,51.05664213212839
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,27.84579200966337
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.2656950274875918
-0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,-1.3628768962471882
0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.9011906429265532
0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4916366369344396
1.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.566338005874597
0.0,0.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.874667454846822
0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,3.509858389370535
1.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,12.184930574488726
-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,-2.4714760891196628
-0.0,1.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,-0.8709649360198606
0.0,1.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.3138175775472859
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.216321922664395
-0.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.5839644995306335
1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,23.887847358198023
0.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,1.0,8.822436403925142
0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2880931493313792
-0.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,0.717352049027843
0.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,-1.2899098338833819
2.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.6000751784321059
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932646662283116
1.0,-0.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.617000162438854
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,2.3908020695472043
1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,3.049289615051528
1.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,1.0,16.085631931724762
0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-2.0341050685168525
1.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,12.504091529975128
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,0.0,0.0,9.740713764404482
1.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,40.501031694365125
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,10.969022731824737
0.0,-0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.21564554303946587
