OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,PERF
-1.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.0,1.0,-0.0,-1.0,0.0,0.0,2.0,0.0,2.0,-0.0,-0.0,-0.0,0.0,0.0,2.0,-0.0,1.0,-1.0,2.0,0.0,1.0,-12.729243302846468
-1.0,-0.0,-2.0,0.0,-0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,-2.0,0.0,-0.0,3.0,1.0,0.0,0.0,-1.0,1.0,-2.0,-1.0,1.0,1.0,-1.0,1.0,-0.0,-0.0,0.0,-0.0,2.0,-2.0,26.32300077660459
1.0,-2.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,1.0,-0.0,0.0,2.0,0.0,-2.0,1.0,0.0,1.0,-0.0,0.0,-2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-12.465464553419514
-1.0,0.0,-0.0,-3.0,-0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,-2.0,2.0,-2.0,1.0,-2.0,2.0,-1.0,1.0,-2.0,-0.0,-0.0,2.0,0.0,2.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,2.0,0.0,3.0,-0.0,-2.0,-17.96363435096655
0.0,-1.0,-0.0,1.0,0.0,-0.0,-2.0,1.0,-1.0,-0.0,0.0,-1.0,1.0,-0.0,-1.0,-0.0,1.0,2.0,-2.0,2.0,-1.0,-1.0,1.0,-1.0,-0.0,1.0,0.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,-1.0,-5.9134676411730895
0.0,-2.0,1.0,2.0,-0.0,-0.0,-1.0,-1.0,0.0,2.0,1.0,1.0,-2.0,1.0,0.0,0.0,-1.0,-0.0,0.0,-2.0,2.0,-2.0,-0.0,2.0,-1.0,-0.0,1.0,0.0,1.0,0.0,-0.0,-1.0,1.0,-1.0,-0.0,2.0,-1.0,0.0,-0.0,-22.610847411697527
1.0,-1.0,-0.0,-1.0,1.0,1.0,1.0,-1.0,-0.0,2.0,1.0,1.0,2.0,1.0,-2.0,-1.0,-0.0,1.0,-0.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,-1.0,2.0,-2.0,-1.0,0.0,2.0,-0.0,0.0,-0.0,-1.0,4.0,0.0,-1.0,-2.0,-10.956234586232533
2.0,1.0,1.0,-2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,-1.0,0.0,-1.0,-1.0,-3.0,-0.0,0.0,-0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-0.0,0.0,2.0,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,8.711328545818299
0.0,-0.0,2.0,1.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,-1.0,-1.0,1.0,-0.0,-0.0,-0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,-2.0,-1.0,1.0,-0.0,1.0,0.0,-0.0,-1.0,1.0,-1.0,-0.0,-1.0,-1.0,-0.0,1.0,14.613970744296548
-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,1.0,4.0,1.0,-1.0,3.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,3.0,-1.0,-1.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,-0.0,1.0,-7.834343683637726
1.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-0.0,1.0,-2.0,2.0,-0.0,0.0,0.0,-1.0,-0.0,-3.0,1.0,-1.0,1.0,1.0,1.0,-0.0,0.0,1.0,-0.0,2.0,-0.0,-0.0,-0.0,-2.0,3.0,2.0,-32.96623526585934
-1.0,-2.0,3.0,1.0,-0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0,1.0,-2.0,2.0,-0.0,0.0,-0.0,-1.0,-1.0,-1.0,-0.0,2.0,-1.0,1.0,0.0,-1.0,-2.0,-0.0,3.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,9.237346248232255
