HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PS1K,PS4K,PS8K,PS16K,PS32K,CS32MB,CS16MB,CS64MB,CS512MB,PERF
-0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-1.547034302129037
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29374429817322845
1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,1.8520916688682283
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.700111666844784
-0.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,-2.6240795306224154
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,-3.663472100099944
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.24874514201526984
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,0.0,3.136211541749166
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,4.431453703809207
0.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,8.656115496318757
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.674546736789873
