feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,PERF
1e-05,1e-05,0.0008258972694855252,0.13089367161423174,0.24954174116183173,0.6606858629170429,1e-05,0.1492351892903835,1e-05,0.28074783013434335,0.42329938249167964,0.49122825691951116,0.6410662470950212,1e-05,0.037506222153363786,0.05378145077016554,1e-05,18.02076276237976
1e-05,0.1502960019851091,1e-05,0.21774440296331415,0.3172442490596222,1e-05,1e-05,0.10333180793624394,0.021596980893332937,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.13335007974932256,19.4761787332913
0.24737482309862513,0.31918755866060733,1e-05,0.19673171250071858,0.22931919918466723,1e-05,1e-05,0.2238076334350914,0.1722848538925822,0.15785764503777508,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.38487705878953943,16.694730057845558
1e-05,0.1495101926809181,0.19508824373182973,0.23022271772976943,0.662889988363336,0.76435975001201,0.05153229624069621,0.41693080792748827,1e-05,1e-05,0.14417863177792445,0.5332517638577974,0.41403356662723045,0.4978701829886565,1e-05,1e-05,0.28276281911351786,16.63435199624831
1e-05,0.057714094778113886,0.1868766715186174,1e-05,0.13583576360485083,0.38019703100297614,0.35309589605184133,0.3374192864598832,1e-05,0.10992474485714251,0.4547166570555884,0.26897301661847184,1e-05,0.37923501420800965,0.3650432298192636,1e-05,0.041760544971532525,14.750536175253698
1e-05,1e-05,0.15817349572617756,0.4493324306668915,0.28541802539440414,0.5364684674205988,0.5164275132948899,0.43707103058358704,1e-05,1e-05,0.5199797969808938,0.43004501175620596,1e-05,0.2440095142128152,0.4079251351369933,1e-05,1e-05,16.24739328020625
1e-05,1e-05,0.03025937076875162,0.20761741646563917,0.02742517560590769,0.09074860309781348,0.1430651442563258,0.25504322650679456,1e-05,1e-05,0.13493255239213217,1e-05,0.024940320256945248,0.053043601810994184,1e-05,1e-05,0.011949336331111176,15.91634482035303
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,13.544589920631173
0.28261749847562345,0.2691705990093271,0.13021225460711863,0.19325779768692555,0.8422068428033431,0.5602019186542548,1e-05,0.1606195080079293,0.19670642621691778,0.40301303218932094,1e-05,0.8353129214547399,0.9170354777229334,0.18013029728633928,1e-05,0.7022389753152918,0.10483032355698015,14.316137127217996
0.38009308304150385,0.3521117689679717,0.012110029815435087,0.0840046356072835,0.7135011199675014,0.528007868097007,0.5379333213597095,0.5911788380443403,0.7136853231818283,0.48705359669760917,0.16595934209993485,0.33291267057640633,0.6607588358921306,0.6845578335649513,0.4964652310254466,0.6689641202923383,1.0,13.347385567165514
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.009916221803017204,1e-05,1e-05,1e-05,1e-05,1e-05,15.718176256766938
0.24065730538546348,0.3574983662064661,1e-05,0.43841644774025984,0.5232281584163685,1e-05,0.23551660862658197,0.020978205886799446,0.4916368650260725,0.5032649194887402,1e-05,0.047568309777180885,1e-05,0.3257280437109723,1e-05,0.3137174920344356,0.49195671765786564,16.03886119917503
1e-05,1e-05,1e-05,1e-05,1e-05,0.3745346574710154,1e-05,1e-05,1e-05,0.6370643980034826,0.4018067264628723,0.20615792022845328,0.3565318856360444,1e-05,1e-05,1e-05,1e-05,16.512447577409866
