feature_0,feature_1,feature_2,feature_3,feature_4,PERF
0.9777989671175128,0.9777989671175128,0.9777989671175128,0.7949088495219523,0.0349796983690752,29.391
0.8801351085643829,0.8801351085643829,0.8801351085643829,0.8708449618975688,0.946413282087984,63.466
0.6340680504821556,0.6340680504821556,0.6340680504821556,0.7962559502532446,0.7094457696148704,30.711
0.3908467238179071,0.3908467238179071,0.3908467238179071,0.3229549476817147,0.3885934043419772,21.934
0.8139106903878185,0.8139106903878185,0.8139106903878185,0.11181366666786112,0.01977568102882595,25.023000000000003
0.9507895575124852,0.9507895575124852,0.9507895575124852,0.99782072544324,0.8247424150040102,34.813
0.9783958557115632,0.9783958557115632,0.9783958557115632,0.9976525103089936,0.9610387813898082,33.302
0.903159692266108,0.903159692266108,0.903159692266108,0.1200505075130521,0.05327598856403331,30.22
0.9548361596395564,0.9548361596395564,0.9548361596395564,0.7724234807224919,0.9875205106485584,69.922
0.9893883983397564,0.9893883983397564,0.9893883983397564,0.3480423162279385,0.05605134514248488,26.264
0.8744552711168873,0.8744552711168873,0.8744552711168873,0.92685387773612,0.96267498681662,33.012
0.8389804170794336,0.8389804170794336,0.8389804170794336,0.480349711822873,0.4923188854659479,28.19
0.8744552711297892,0.8744552711297892,0.8744552711297892,0.9268538777403824,0.9626749868207468,39.84
0.9967262987486024,0.9967262987486024,0.9967262987486024,0.9136992376981322,0.5222202160613739,24.119
0.9184087131011984,0.9184087131011984,0.9184087131011984,0.9914687446544954,0.00794292514434698,34.29
0.2938367795422315,0.2938367795422315,0.2938367795422315,0.17646326717938732,0.9337364769260076,23.094
0.9876100556520676,0.9876100556520676,0.9876100556520676,0.9982666251665192,0.7797631799293161,25.706
0.7085002774233761,0.7085002774233761,0.7085002774233761,0.5821340813004906,0.8938710554680002,23.097
0.9970226998764122,0.9970226998764122,0.9970226998764122,0.9997605405544556,0.9900705454755544,63.188
0.48502963099256396,0.48502963099256396,0.48502963099256396,0.4107797415278551,0.3679984122000167,22.596
0.5413335872122512,0.5413335872122512,0.5413335872122512,0.6728904017790881,0.9145591289086475,42.644
0.9336835012589204,0.9336835012589204,0.9336835012589204,0.9915030724534,0.21687272000031024,75.641
0.9668805301138924,0.9668805301138924,0.9668805301138924,0.767846520610245,0.5711692996934041,24.753
0.9989628177071946,0.9989628177071946,0.9989628177071946,0.9948733105000545,0.9193767735730944,36.025
0.997166015280288,0.997166015280288,0.997166015280288,0.9953495431129968,0.8847855549623936,50.5
0.96169616028631,0.96169616028631,0.96169616028631,0.9750172839042701,0.9193767735723146,82.432
0.7727971724847349,0.7727971724847349,0.7727971724847349,0.7613998845644918,0.3120123404467071,41.685
0.5669498636200759,0.5669498636200759,0.5669498636200759,0.5394421549925317,0.35087613711019805,23.202
0.9701690267018364,0.9701690267018364,0.9701690267018364,0.9986323056534524,0.8471239914924786,26.447
0.6629635129879466,0.6629635129879466,0.6629635129879466,0.6852011388950876,4.2919833003469676e-05,22.638
0.8926607157951998,0.8926607157951998,0.8926607157951998,0.999787452370376,0.13680210406136475,55.622
0.5800395447175025,0.5800395447175025,0.5800395447175025,0.5025696349901084,0.7563209981135777,22.375
